,date,text,summary
0,1400/06/07,مسی- مسی تبدیل به شعار جدید شد! (عکس),ممفیس دیپای، ستاره هلندی بارسلونا در بدو ورود به این تیم عملکرد درخشانی داشته است.
1,1400/06/13,استرس داشتم با مسی عکس بگیرم,کریستین پولیسیچ، ستاره آمریکایی چلسی خاطره جالبی از نقابل با لیونل مسی در دوران نوجوانی دارد.
2,1400/06/11,پی اس جی 2 مسی دیگر را هم جذب کرد,دو فرزند لیونل مسی وارد آکادمی پاری سن ژرمن شدند تا حالا 3 مسی در عضویت این باشگاه قرار داشته باشند.
3,1400/06/09,پدر لیونل مسی: از بعضی‌ها در بارسلونا ناراحتیم,خورخه مسی، پدر لیونل مسی مدعی شد آنها از رفتار برخی ارکان باشگاه بارسلونا ناراحت هستند.
4,1400/06/12,نگرانی بزرگ آرژانتین و PSG؛ مسی می‌لنگد! (عکس),لیونل مسی، ستاره جدید پاری سن ژرمن، پس از خطای شدید شب گذشته در دیدار برابر ونزوئلا، امروز در حالی از اتوبوس تیم آرژانتین پیاده شده که در حال لنگ زدن دیده شده است.
5,1400/06/13,اسکالونی: صحنه ترسناک بود، اما حال مسی خوب است,لیونل اسکالونی، سرمربی آلبی سلسته اعلام کرد لیونل مسی احتمالا مشکلی برای دیدار مقابل برزیل ندارد.
6,1400/06/12,موج نگرانی در PSG به خاطر لیونل مسی (عکس),تکل خشن بازیکن ونزوئلا روی پای لیونل مسی، پی اس جی را دچار نگرانی بزرگی کرد.
7,1400/06/13,راه توقف لئو مسی؟ با آرنج به صورت او بزنید!,فیلیپه ملو، کاپیتان برزیلی پالمیراس به تمجید از لیونل مسی، اسطوره فوتبال آرژانتین پرداخته است.
8,1400/06/12,کارت قرمز؟ این خطا روی مسی زندان داشت (عکس),بامداد امروز و در جریان دیدار ونزوئلا برابر آرژانتین یک خطر بزرگ از بیخ گوش لیونل مسی گذشت.
9,1400/06/10,وارث پیراهن شماره 10 مسی مشخص شد (عکس),پیراهن شماره 10 لیونل مسی نه تنها بایگانی نشد که از این پس در اختیار آنسو فاتی خواهد بود.
10,1400/06/08,بارسلونا و بدهکاری هنگفت به لیونل مسی,گزارش‌ها حاکی از آن است که بارسلونا هنوز ۸۵ میلیون یورو به لیونل مسی بدهکار است.
11,1400/06/08,ممنون مسی؛ هرگز اینقدر تشویق نشده بودم!,آندر هررا ستاره اسپانیایی پی اس جی دیشب همراه با لیونل مسی وارد میدان شد که برایش اتفاقی جالب توجه را رقم زد.
12,1400/06/12,مسی با PSG چمپیونزلیگ را می‌برد و به بارسا برمی‌گردد,خوان رومن ریکلمه، بازیکن سابق بارسلونا، معتقد است که رابطه لیونل مسی و این تیم به پایان نرسیده و او پس از قهرمانی با پاری سن ژرمن در لیگ قهرمانان، در باشگاه اسپانیایی بازنشسته خواهد شد.
13,1400/06/10,آمدنم به لیگ فرانسه ربطی به لیونل مسی ندارد,ژروم بواتنگ، مدافع تازه وارد باشگاه لیون، درباره تقابل با لیونل مسی در لیگ فرانسه صحبت کرد.
14,1400/06/09,از مسی درخواست پیراهن نکنید مگر با پاسپورت!,قوانین سختگیرانه لیونل مسی برای تعویض پیراهن بار دیگر زمانی جلب توجه کرد که این بازیکن درخواست بازیکن ریمس برای دریافت پیراهن ستاره تازه وارد پاری سن ژرمن را رد کرد.
15,1400/06/11,رونالدو خارق العاده است اما مسی با همه فرق می‌کند,آنخل دی‌ماریا، بازیکن آرژانتینی پاری سن ژرمن، می‌گوید که بارها شانس پیوستن به بارسلونا را داشته و کریستیانو رونالدو را شخصیتی خارق العاده در درون و بیرون زمین می‌داند.
16,1400/06/08,باخت مهم نیست؛ با مسی عکس بگیرید! (عکس),پردراگ رایکوویچ، دروازه‌بان تیم فوتبال ریمس، پس از پایان بازی شب گذشته برابر پاری سن ژرمن از لیونل مسی خواست که عکسی به یادگار با فرزندش بگیرد. 
17,1400/06/08,لحظه تاریخی؛ مسی برای PSG به زمین رفت,لیونل مسی، ستاره سابق بارسلونا، امشب در دیدار مقابل ریمس برای اولین بار با پیراهن پاری سن ژرمن به میدان رفت.
18,1400/06/11,بعد از رفتن ‌مسی و رونالدو، لالیگا به امباپه نیاز دارد,رائول آلبیول، مدافع سابق رئال مادرید و کنونی ویارئال، می‌گوید بعد از جدایی مسی و رونالدو از بارسا و رئال حالا لالیگا به بازیکنی مثل کیلیان امباپه احتیاج دارد.
19,1400/06/08,مسی آمد، امباپه گل زد، پی‌اس‌جی برد (عکس),در شبی که لیونل مسی اولین بازی اش را برای پاری سن ژرمن انجام داد، این تیم موفق شد با نتیجه 2-0 ریمس را شکست بدهد.
20,هفته پیش,تا لیونل مسی را ندیده بودم باور نمی کردم,مارکو وراتی، هافبک ایتالیایی پاری سن ژرمن از ورود لیونل مسی به این باشگاه بسیار رضایت دارد.
